epoch,step,train_dataset_iou,train_dataset_loss,train_per_image_iou,valid_dataset_iou,valid_dataset_loss,valid_per_image_iou
0,887,,,,0.9639517664909363,0.04031096771359444,0.9642866849899292
0,887,0.9261701703071594,0.11925847828388214,0.9295343160629272,,,
1,1775,,,,0.9481431841850281,0.032413359731435776,0.9498474597930908
1,1775,0.9563487768173218,0.030805157497525215,0.9580581188201904,,,
2,2663,,,,0.9645786881446838,0.01990070752799511,0.9647600054740906
2,2663,0.9576764702796936,0.024413345381617546,0.9595334529876709,,,
3,3551,,,,0.9634573459625244,0.01953074336051941,0.9648278951644897
3,3551,0.9667248725891113,0.018318453803658485,0.967666506767273,,,
4,4439,,,,0.9690581560134888,0.016129478812217712,0.9691491723060608
4,4439,0.9698558449745178,0.016118226572871208,0.9703624844551086,,,
